ID,tube,avg_diameter,culture,Treatment,tube ,pigment,avg_mean,Female
H_eg_1_1,H_eg_1,91.54299999999999,HA111_PL,A,11,42,250.9692842,1
H_eg_1_1,H_eg_1,98.849,HA111_PL,A,11,50,261.7525588,1
H_eg_1_1,H_eg_1,94.71466666666667,HA111_PL,A,11,50,249.2559654,1
H_eg_1_1,H_eg_1,95.27866666666667,HA111_PL,A,11,53,268.4236215,1
H_eg_1_1,H_eg_1,92.36533333333333,HA111_PL,A,11,54,247.0209344,1
H_eg_1_1,H_eg_1,93.51599999999999,HA111_PL,A,11,54,256.228368,1
H_eg_1_1,H_eg_1,88.12066666666666,HA111_PL,A,11,48,235.1459989,1
H_eg_1_1,H_eg_1,88.41633333333333,HA111_PL,A,11,46,260.4996662,1
H_eg_1_1,H_eg_1,91.531,HA112_PL,A,11,56,233.9897775,1
H_eg_1_1,H_eg_1,105.553,HA112_PL,A,11,48,247.4409405,1
H_eg_1_1,H_eg_1,96.54466666666667,HA112_PL,A,11,53,247.1920844,1
H_eg_1_1,H_eg_1,94.77266666666667,HA112_PL,A,11,50,251.6501597,1
H_eg_1_1,H_eg_1,94.423,HA112_PL,A,11,62,249.0296066,1
H_eg_1_1,H_eg_1,89.79566666666666,HA112_PL,A,11,60,258.0813035,1
H_eg_1_1,H_eg_1,100.77499999999999,HA112_PL,A,11,53,258.6338808,1
H_eg_1_1,H_eg_1,93.883,HA112_PL,A,11,41,244.1545689,1
H_eg_1_1,H_eg_1,93.13166666666666,HA112_PL,A,11,52,264.2819876,1
H_eg_1_1,H_eg_1,94.092,HA112_PL,A,11,55,259.5218032,1
H_eg_1_1,H_eg_1,93.321,HA112_PL,A,11,61,256.9559672,1
H_eg_1_1,H_eg_1,99.36,HA112_PL,A,11,57,242.1134332,1
H_eg_1_2,H_eg_1,89.26766666666667,HA112_PL,A,11,60,255.9264798,1
H_eg_1_2,H_eg_1,94.792,HA112_PL,A,11,67,236.0482839,1
H_eg_1_2,H_eg_1,95.33233333333334,HA112_PL,A,11,56,251.1892106,1
H_eg_1_2,H_eg_1,95.18066666666667,HA112_PL,A,11,60,233.9148839,1
H_eg_1_2,H_eg_1,94.79533333333333,HA112_PL,A,11,51,242.6986397,1
H_eg_1_2,H_eg_1,93.13933333333333,HA112_PL,A,11,62,229.1825526,1
H_eg_1_2,H_eg_1,93.16466666666666,HA112_PL,A,11,58,252.3010915,1
H_eg_1_2,H_eg_1,92.53733333333334,HA112_PL,A,11,61,241.9963157,1
H_eg_1_2,H_eg_1,91.443,HA112_PL,A,11,50,246.6970671,1
H_eg_1_2,H_eg_1,90.07533333333333,HA112_PL,A,11,48,228.3096821,1
H_eg_1_2,H_eg_1,90.044,HA112_PL,A,11,49,231.3844963,1
H_eg_1_2,H_eg_1,93.663,HA121_PL,A,12,49,262.6767456,1
H_eg_1_2,H_eg_1,95.83533333333334,HA121_PL,A,12,43,247.8734885,1
H_eg_1_2,H_eg_1,93.10966666666667,HA121_PL,A,12,64,250.0014707,1
H_eg_1_2,H_eg_1,90.08733333333333,HA121_PL,A,12,42,247.4736376,1
H_eg_1_2,H_eg_1,94.22866666666667,HA121_PL,A,12,49,267.7664019,1
H_eg_1_2,H_eg_1,95.568,HA121_PL,A,12,63,234.9581886,1
H_eg_1_2,H_eg_1,95.59366666666666,HA121_PL,A,12,48,247.0134431,1
H_eg_1_2,H_eg_1,95.59933333333333,HA121_PL,A,12,54,239.7989037,1
H_eg_1_2,H_eg_1,90.50766666666667,HA121_PL,A,12,51,240.3584592,1
H_eg_1_3,H_eg_1,99.51066666666667,HA121_PL,A,12,37,225.7007627,1
H_eg_1_3,H_eg_1,97.80866666666667,HA121_PL,A,12,49,249.7502312,1
H_eg_1_3,H_eg_1,90.25666666666667,HA121_PL,A,12,45,235.650937,1
H_eg_1_3,H_eg_1,95.69766666666666,HA121_PL,A,12,41,224.2860589,1
H_eg_1_3,H_eg_1,95.90566666666666,HA121_PL,A,12,55,252.9552638,1
H_eg_1_3,H_eg_1,92.802,HA121_PL,A,12,54,249.9630331,1
H_eg_1_3,H_eg_1,95.40766666666667,HA121_PL,A,12,59,237.1247492,1
H_eg_1_3,H_eg_1,89.74,HA121_PL,A,12,60,251.2504717,1
H_eg_1_3,H_eg_1,102.54166666666666,HA122_PL,A,12,63,241.9626831,1
H_eg_1_3,H_eg_1,90.38466666666666,HA122_PL,A,12,57,207.4113191,1
H_eg_1_3,H_eg_1,98.86233333333332,HA122_PL,A,12,88,234.4690259,1
H_eg_1_3,H_eg_1,96.83800000000001,HA122_PL,A,12,81,239.5022384,1
H_eg_1_3,H_eg_1,90.86066666666667,HA122_PL,A,12,71,217.2555404,1
H_eg_1_3,H_eg_1,91.00433333333334,HA122_PL,A,12,79,261.6236073,1
H_eg_1_3,H_eg_1,92.10933333333332,HA122_PL,A,12,65,253.4712499,1
H_eg_1_3,H_eg_1,95.667,HA122_PL,A,12,66,249.9815652,1
H_eg_1_3,H_eg_1,94.67266666666666,HA122_PL,A,12,66,233.5726325,1
H_eg_1_3,H_eg_1,93.31,HA122_PL,A,12,51,204.996675,1
H_eg_1_3,H_eg_1,99.80499999999999,HA122_PL,A,12,40,243.1364638,1
H_eg_1_3,H_eg_1,91.77366666666667,HA122_PL,A,12,38,231.2905979,1
H_eg_2_1,H_eg_2,84.56633333333333,HA231_PL,A,23,53,256.3664268,2
H_eg_2_1,H_eg_2,93.32066666666667,HA231_PL,A,23,53,261.4225328,2
H_eg_2_1,H_eg_2,93.933,HA231_PL,A,23,55,256.8626616,2
H_eg_2_1,H_eg_2,88.79466666666667,HA231_PL,A,23,54,257.8600514,2
H_eg_2_1,H_eg_2,85.00366666666667,HA231_PL,A,23,61,250.6143439,2
H_eg_2_1,H_eg_2,93.64166666666667,HA231_PL,A,23,60,271.5889475,2
H_eg_2_1,H_eg_2,91.57933333333334,HA231_PL,A,23,42,303.9978181,2
H_eg_2_1,H_eg_2,88.58866666666667,HA231_PL,A,23,56,272.3123958,2
H_eg_2_1,H_eg_2,88.19466666666666,HA231_PL,A,23,36,248.849294,2
H_eg_2_1,H_eg_2,83.26233333333333,HA231_PL,A,23,40,286.8660389,2
H_eg_2_1,H_eg_2,80.81733333333334,HA231_PL,A,23,52,278.844767,2
H_eg_2_1,H_eg_2,86.059,HA231_PL,A,23,57,236.5764059,2
H_eg_2_1,H_eg_2,90.49366666666667,HA231_PL,A,23,36,241.8208272,2
H_eg_2_1,H_eg_2,92.89533333333333,HA231_PL,A,23,53,253.5310611,2
H_eg_2_1,H_eg_2,87.654,HA231_PL,A,23,55,267.1670835,2
H_eg_2_1,H_eg_2,97.34833333333333,HA231_PL,A,23,51,252.2856944,2
H_eg_2_1,H_eg_2,93.78766666666667,HA231_PL,A,23,54,260.9081205,2
H_eg_2_1,H_eg_2,89.953,HA231_PL,A,23,59,262.5989637,2
H_eg_2_1,H_eg_2,93.89066666666666,HA231_PL,A,23,41,280.4719314,2
H_eg_2_1,H_eg_2,85.81,HA231_PL,A,23,48,269.0848985,2
H_eg_2_1,H_eg_2,78.12366666666667,HA231_PL,A,23,44,250.2768715,2
H_eg_2_1,H_eg_2,85.03866666666667,HA231_PL,A,23,58,279.7578718,2
H_eg_2_1,H_eg_2,88.91533333333334,HA231_PL,A,23,45,237.3188312,2
H_eg_2_2,H_eg_2,90.584,HA231_PL,A,23,32,252.9647885,2
H_eg_2_2,H_eg_2,93.78633333333333,HA231_PL,A,23,44,278.9586887,2
H_eg_2_2,H_eg_2,93.128,HA231_PL,A,23,36,272.7480575,2
H_eg_2_2,H_eg_2,77.914,HA231_PL,A,23,46,267.3844227,2
H_eg_2_2,H_eg_2,77.65966666666667,HA231_PL,A,23,42,236.6129451,2
H_eg_2_2,H_eg_2,91.242,HA231_PL,A,23,50,269.1081053,2
H_eg_2_2,H_eg_2,93.80433333333333,HA231_PL,A,23,44,265.1469493,2
H_eg_2_2,H_eg_2,97.577,HA232_PL,A,23,44,258.1625732,2
H_eg_2_2,H_eg_2,91.94333333333333,HA232_PL,A,23,49,260.0305845,2
H_eg_2_2,H_eg_2,92.93533333333333,HA232_PL,A,23,41,254.0886859,2
H_eg_2_2,H_eg_2,93.997,HA232_PL,A,23,63,273.3242194,2
H_eg_2_2,H_eg_2,97.47133333333333,HA232_PL,A,23,42,237.6999605,2
H_eg_2_2,H_eg_2,90.075,HA232_PL,A,23,49,239.4482319,2
H_eg_2_2,H_eg_2,97.26066666666667,HA232_PL,A,23,48,255.5917963,2
H_eg_2_2,H_eg_2,95.16366666666666,HA232_PL,A,23,40,242.0633213,2
H_eg_2_2,H_eg_2,96.87533333333333,HA232_PL,A,23,48,255.6767835,2
H_eg_2_2,H_eg_2,75.71133333333333,HA232_PL,A,23,57,243.4055432,2
H_eg_2_2,H_eg_2,93.12833333333333,HA232_PL,A,23,48,239.6854761,2
H_eg_2_2,H_eg_2,99.31433333333334,HA232_PL,A,23,47,249.6767259,2
H_eg_2_2,H_eg_2,93.30833333333334,HA232_PL,A,23,37,256.7230062,2
H_eg_2_2,H_eg_2,99.16533333333334,HA232_PL,A,23,45,237.465512,2
H_eg_2_2,H_eg_2,90.944,HA232_PL,A,23,36,246.7696188,2
H_eg_2_3,H_eg_2,98.29666666666667,HA232_PL,A,23,43,253.5238585,2
H_eg_2_3,H_eg_2,79.33533333333332,HA232_PL,A,23,41,231.2832491,2
H_eg_2_3,H_eg_2,87.662,HA232_PL,A,23,37,241.0840595,2
H_eg_2_3,H_eg_2,82.87166666666667,HA232_PL,A,23,43,238.5407274,2
H_eg_2_3,H_eg_2,88.89,HA232_PL,A,23,42,243.3649683,2
H_eg_2_3,H_eg_2,94.295,HA232_PL,A,23,47,263.9216164,2
H_eg_2_3,H_eg_2,102.74533333333333,HA232_PL,A,23,40,246.9988419,2
H_eg_2_3,H_eg_2,100.946,HA232_PL,A,23,42,227.1421895,2
H_eg_2_3,H_eg_2,82.30066666666667,HA232_PL,A,23,38,238.4344155,2
H_eg_2_3,H_eg_2,80.51966666666667,HA232_PL,A,23,53,245.3032346,2
H_eg_2_3,H_eg_2,84.80133333333333,HA232_PL,A,23,45,250.2812073,2
H_eg_2_3,H_eg_2,79.98066666666666,HA232_PL,A,23,38,230.9498079,2
H_eg_2_3,H_eg_2,84.249,HA232_PL,A,23,48,258.2728894,2
H_eg_2_3,H_eg_2,82.66066666666667,HA232_PL,A,23,38,252.9322899,2
H_eg_2_3,H_eg_2,83.92099999999999,HA232_PL,A,23,40,265.8958871,2
H_eg_3_1,H_eg_3,81.12833333333333,HA331_PL,A,33,53,262.2460141,3
H_eg_3_1,H_eg_3,87.94633333333333,HA331_PL,A,33,46,246.4947242,3
H_eg_3_1,H_eg_3,92.10866666666666,HA331_PL,A,33,46,263.4076617,3
H_eg_3_1,H_eg_3,80.48966666666666,HA331_PL,A,33,51,232.0138242,3
H_eg_3_1,H_eg_3,91.88233333333334,HA331_PL,A,33,60,260.4847341,3
H_eg_3_1,H_eg_3,86.58833333333334,HA331_PL,A,33,56,275.5155646,3
H_eg_3_1,H_eg_3,88.86933333333333,HA331_PL,A,33,64,246.9764854,3
H_eg_3_1,H_eg_3,87.304,HA331_PL,A,33,54,282.5942475,3
H_eg_3_1,H_eg_3,86.19066666666667,HA331_PL,A,33,43,250.1075739,3
H_eg_3_1,H_eg_3,94.36,HA331_PL,A,33,44,261.1586748,3
H_eg_3_1,H_eg_3,83.754,HA331_PL,A,33,43,281.1003408,3
H_eg_3_1,H_eg_3,82.69466666666666,HA331_PL,A,33,40,244.9312256,3
H_eg_3_1,H_eg_3,81.61666666666666,HA331_PL,A,33,41,254.4367658,3
H_eg_3_1,H_eg_3,76.003,HA331_PL,A,33,34,261.4113864,3
H_eg_3_1,H_eg_3,85.795,HA331_PL,A,33,33,254.7257907,3
H_eg_3_1,H_eg_3,85.36833333333334,HA331_PL,A,33,44,280.4566767,3
H_eg_3_1,H_eg_3,85.06933333333333,HA331_PL,A,33,39,273.3625425,3
H_eg_3_1,H_eg_3,85.558,HA331_PL,A,33,31,269.1955958,3
H_eg_3_1,H_eg_3,89.65333333333334,HA331_PL,A,33,48,283.3231473,3
H_eg_3_1,H_eg_3,89.279,HA331_PL,A,33,51,267.3015174,3
H_eg_3_1,H_eg_3,90.456,HA331_PL,A,33,37,256.5107754,3
H_eg_3_2,H_eg_3,89.87933333333334,HA331_PL,A,33,38,268.2691406,3
H_eg_3_2,H_eg_3,85.78666666666666,HA331_PL,A,33,51,274.6498961,3
H_eg_3_2,H_eg_3,90.099,HA331_PL,A,33,41,279.362091,3
H_eg_3_2,H_eg_3,85.17133333333334,HA331_PL,A,33,36,306.076465,3
H_eg_3_2,H_eg_3,87.56666666666666,HA331_PL,A,33,43,291.1893712,3
H_eg_3_2,H_eg_3,87.41766666666666,HA331_PL,A,33,47,271.2318645,3
H_eg_3_2,H_eg_3,89.85666666666667,HA331_PL,A,33,56,266.9746015,3
H_eg_3_2,H_eg_3,90.12933333333334,HA331_PL,A,33,42,252.9760096,3
H_eg_3_2,H_eg_3,89.40966666666667,HA331_PL,A,33,38,268.7784329,3
H_eg_3_2,H_eg_3,88.541,HA332_PL,A,33,50,290.0441181,3
H_eg_3_2,H_eg_3,86.94033333333333,HA332_PL,A,33,35,253.3555832,3
H_eg_3_2,H_eg_3,87.058,HA332_PL,A,33,54,255.666179,3
H_eg_3_2,H_eg_3,88.64766666666667,HA332_PL,A,33,41,296.1367318,3
H_eg_3_2,H_eg_3,90.638,HA332_PL,A,33,47,271.011442,3
H_eg_3_2,H_eg_3,90.21666666666667,HA332_PL,A,33,45,270.8435846,3
H_eg_3_2,H_eg_3,90.56533333333333,HA332_PL,A,33,52,262.6028328,3
H_eg_3_2,H_eg_3,93.43299999999999,HA332_PL,A,33,65,273.6416099,3
H_eg_3_2,H_eg_3,94.417,HA332_PL,A,33,72,278.1962137,3
H_eg_3_3,H_eg_3,85.87033333333333,HA332_PL,A,33,54,282.7245499,3
H_eg_3_3,H_eg_3,94.62466666666667,HA332_PL,A,33,42,269.8728674,3
H_eg_3_3,H_eg_3,91.592,HA332_PL,A,33,46,235.6904395,3
H_eg_3_3,H_eg_3,86.05233333333334,HA332_PL,A,33,50,238.0261943,3
H_eg_3_3,H_eg_3,85.78233333333333,HA332_PL,A,33,49,285.6557082,3
H_eg_3_3,H_eg_3,83.45766666666667,HA332_PL,A,33,46,272.7126361,3
H_eg_3_3,H_eg_3,84.33200000000001,HA332_PL,A,33,38,263.4804795,3
H_eg_3_3,H_eg_3,92.72466666666666,HA332_PL,A,33,40,254.1226805,3
H_eg_3_3,H_eg_3,88.60266666666666,HA332_PL,A,33,39,274.7357805,3
H_eg_3_3,H_eg_3,84.482,HA332_PL,A,33,43,274.452048,3
H_eg_3_3,H_eg_3,89.58466666666666,HA332_PL,A,33,52,267.6520968,3
H_eg_3_3,H_eg_3,87.21466666666666,HA332_PL,A,33,43,287.0574278,3
H_eg_3_3,H_eg_3,90.71633333333334,HA332_PL,A,33,40,266.3775204,3
H_eg_3_3,H_eg_3,90.71633333333332,HA332_PL,A,33,40,267.2510012,3
H_eg_3_3,H_eg_3,88.467,HA332_PL,A,33,48,269.4990346,3
H_eg_3_3,H_eg_3,87.06433333333334,HA332_PL,A,33,38,250.0484032,3
H_eg_3_3,H_eg_3,88.16166666666666,HA332_PL,A,33,42,265.3799612,3
H_eg_3_3,H_eg_3,84.28166666666667,HA332_PL,A,33,40,274.9287536,3
H_eg_3_3,H_eg_3,87.838,HA332_PL,A,33,44,257.297013,3
H_eg_3_3,H_eg_3,88.83533333333332,HA332_PL,A,33,42,268.9283443,3
H_eg_3_3,H_eg_3,90.505,HA332_PL,A,33,45,249.5031629,3